日期,代號,名稱,動作,股數,價格,實現損益
2025-09-01,,,月權益,,5000000,
2025-09-30,,,月權益,,5000000,
2025-10-01,,,月權益,,5000000,
2025-10-31,,,月權益,,5000000,
2025-11-28,,,月權益,,5000000,
2025-12-01,,,月權益,,5000000,
2025-12-31,,,月權益,,5000000,
2026-01-30,,,月權益,,5000000,
2026-02-11,3017,奇鋐,進場YoY150% 散熱/無,520,1605.0,
2026-02-11,8210,勤誠,進場YoY137% 機殼導軌/主軸,856,975.0,
2026-02-11,2467,志聖,進場YoY124% PCB設備/無,3058,273.0,
2026-02-11,2382,廣達,進場YoY62% 伺服器ODM/無,2919,286.0,
2026-02-11,8046,南電,進場YoY45% PCB_CCL/無,2007,416.0,
2026-02-11,6213,聯茂,進場YoY42% PCB_CCL/無,6643,121.0,
2026-02-23,8210,勤誠,出清,856,890.0,-72760
2026-02-23,2485,兆赫,進場YoY163% 網通交換器/無,18770,40.4,
2026-02-26,,,月權益,,5663230.213324999,
2026-03-04,2382,廣達,出清,2919,281.0,-14595
2026-03-04,3167,大量,進場YoY120% PCB設備/無,3061,266.0,
2026-03-09,6213,聯茂,出清,6643,115.0,-39858
2026-03-09,2345,智邦,進場YoY72% 網通交換器/無,551,1380.0,
2026-03-31,,,月權益,,6789752.885575,
2026-04-01,,,月權益,,7166679.385575,
2026-04-30,2485,兆赫,出清,18770,58.7,343491
2026-04-30,8996,高力,進場YoY205% 散熱/無,871,1250.0,
2026-04-30,,,月權益,,10355458.45625,
2026-05-29,,,月權益,,9723803.45625,
2026-06-01,,,月權益,,9932982.45625,
2026-06-10,3017,奇鋐,出清,520,2360.0,392600
2026-06-10,2344,華邦電,進場YoY182% 記憶體/主軸,8176,149.0,
2026-06-26,2467,志聖,出清,3058,560.0,877646
2026-06-26,2337,旺宏,進場YoY176% 記憶體/主軸,10421,162.5,
2026-06-30,,,月權益,,11029674.2902375,
2026-07-01,2337,旺宏,出清,10421,143.5,-197999
2026-07-01,2059,川湖,進場YoY172% 機殼導軌/無,194,7655.0,
2026-07-01,,,月權益,,10828008.860749999,
2026-07-09,3167,大量,出清,3061,775.0,1558049
2026-07-09,3006,晶豪科,進場YoY297% 記憶體/主軸,7264,237.0,
2026-07-13,2345,智邦,出清,551,2405.0,564775
2026-07-13,2467,志聖,進場YoY94% PCB設備/無,2865,595.0,
2026-07-14,8996,高力,出清,871,1175.0,-65325
2026-07-14,2467,志聖,出清,2865,536.0,-169035
2026-07-14,2382,廣達,進場YoY103% 伺服器ODM/候選,4349,380.0,
2026-07-14,3706,神達,進場YoY81% 伺服器ODM/候選,12854,89.7,
2026-07-17,3006,晶豪科,出清,7264,198.0,-283296
2026-07-17,2382,廣達,出清,4349,325.5,-237020
2026-07-20,2344,華邦電,出清,8176,151.0,16352
2026-07-21,5388,中磊,進場YoY71% 網通交換器/候選,18056,85.1,
2026-07-28,8046,南電,出清,2007,976.0,1123920
2026-07-29,3706,神達,出清,12854,85.3,-56558
2026-07-29,5388,中磊,出清,18056,81.9,-57779
2026-07-31,,,月權益,,8590411.938162498,
2026-08-05,8271,宇瞻,進場YoY201% 記憶體/主軸,6551,227.0,
2026-08-05,2317,鴻海,進場YoY52% 伺服器ODM/候選,5752,258.5,
2026-08-10,3231,緯創,進場YoY54% 伺服器ODM/候選,8188,193.0,
2026-08-11,2344,華邦電,進場YoY292% 記憶體/主軸,8921,178.0,
2026-08-11,2465,麗臺,進場YoY281% 伺服器ODM/候選,10336,86.9,
2026-08-17,2317,鴻海,出清,5752,255.0,-20132
2026-08-17,4967,十銓,進場YoY99% 記憶體/主軸,5494,263.5,
2026-08-18,4967,十銓,出清,5494,252.0,-63181
2026-08-18,3003,健和興,進場YoY93% 連接器線材/無,20292,67.9,
2026-08-19,2344,華邦電,出清,8921,168.0,-89210
2026-08-20,2383,台光電,進場YoY129% PCB_CCL/主軸,248,5985.0,
2026-08-31,,,月權益,,9462648.6089525,
2026-09-01,,,月權益,,9516506.9089525,
2026-09-03,2383,台光電,出清,248,5290.0,-172360
2026-09-03,3443,創意,進場YoY158% IC設計_ASIC/無,226,5800.0,
2026-09-04,,,月權益,,9424495.1729525,
