日期,代號,名稱,動作,股數,價格,實現損益
2025-09-01,,,月權益,,5000000,
2025-09-30,,,月權益,,5000000,
2025-10-01,,,月權益,,5000000,
2025-10-31,,,月權益,,5000000,
2025-11-28,,,月權益,,5000000,
2025-12-01,,,月權益,,5000000,
2025-12-31,,,月權益,,5000000,
2026-01-05,2408,南亞科,"報價位進場(記憶體,第1次)",4014,208.0,
2026-01-30,,,月權益,,5474469.2504,
2026-02-11,3017,奇鋐,進場YoY150% 散熱/無,433,1605.0,
2026-02-11,8210,勤誠,進場YoY137% 機殼導軌/主軸,713,975.0,
2026-02-11,2467,志聖,進場YoY124% PCB設備/無,2547,273.0,
2026-02-11,2382,廣達,進場YoY62% 伺服器ODM/無,2431,286.0,
2026-02-11,8046,南電,進場YoY45% PCB_CCL/無,1671,416.0,
2026-02-23,8210,勤誠,出清,713,890.0,-60605
2026-02-23,2485,兆赫,進場YoY163% 網通交換器/無,17117,40.4,
2026-02-26,,,月權益,,5756457.433435,
2026-03-04,2382,廣達,出清,2431,281.0,-12155
2026-03-04,3167,大量,進場YoY120% PCB設備/無,2884,266.0,
2026-03-09,2408,南亞科,報價位出清(獲利後破60MA),4014,210.0,8028
2026-03-18,2327,國巨,"報價位進場(被動元件,第1次)",3881,280.5,
2026-03-31,,,月權益,,6418968.8933475,
2026-04-01,,,月權益,,6710101.6933475,
2026-04-24,2485,兆赫,停利出清,17117,60.5,344052
2026-04-24,8996,高力,進場YoY205% 散熱/無,1105,1125.0,
2026-04-30,,,月權益,,9621994.805359999,
2026-05-25,8996,高力,換倉賣出,1105,1135.0,11050
2026-05-25,2465,麗臺,進場YoY176% 伺服器ODM/候選,14983,86.2,
2026-05-29,,,月權益,,10569657.44418,
2026-06-01,,,月權益,,11023969.544179998,
2026-06-10,3017,奇鋐,出清,433,2360.0,326915
2026-06-10,2382,廣達,進場YoY121% 伺服器ODM/候選,2683,380.5,
2026-06-23,2465,麗臺,換倉賣出,14983,77.0,-137844
2026-06-23,2383,台光電,進場YoY115% PCB_CCL/無,200,5700.0,
2026-06-26,2467,志聖,出清,2547,560.0,730989
2026-06-26,2059,川湖,進場YoY172% 機殼導軌/無,180,6990.0,
2026-06-30,,,月權益,,12409506.9853675,
2026-07-01,,,月權益,,12485628.9853675,
2026-07-09,3167,大量,出清,2884,775.0,1467956
2026-07-09,6139,亞翔,進場YoY103% 半導體設備材料/無,1524,875.0,
2026-07-09,2382,廣達,換倉賣出,2683,373.5,-18781
2026-07-13,2327,國巨,報價位出清(T4),3881,816.0,2078276
2026-07-13,2467,志聖,進場YoY94% PCB設備/無,3136,595.0,
2026-07-14,2408,南亞科,"報價位進場(記憶體,第2次)",4062,448.0,
2026-07-14,2467,志聖,出清,3136,536.0,-185024
2026-07-14,2382,廣達,進場YoY103% 伺服器ODM/候選,3985,380.0,
2026-07-16,2383,台光電,出清,200,4990.0,-142000
2026-07-16,3167,大量,進場YoY140% PCB設備/無,1785,851.0,
2026-07-17,2382,廣達,出清,3985,325.5,-217182
2026-07-17,3167,大量,出清,1785,766.0,-151725
2026-07-20,6139,亞翔,出清,1524,775.0,-152400
2026-07-28,8046,南電,停利出清,1671,976.0,935760
2026-07-29,2408,南亞科,報價位出清(硬停損-15%),4062,353.5,-383859
2026-07-31,,,月權益,,9460107.7801675,
2026-08-05,2606,裕民,"報價位進場(航運,第1次)",25248,64.5,
2026-08-10,3706,神達,進場YoY81% 伺服器ODM/候選,15386,92.9,
2026-08-10,5388,中磊,進場YoY71% 網通交換器/候選,15271,93.6,
2026-08-10,3231,緯創,進場YoY54% 伺服器ODM/候選,7406,193.0,
2026-08-10,2317,鴻海,進場YoY52% 伺服器ODM/候選,5404,264.5,
2026-08-12,5388,中磊,出清,15271,82.4,-171035
2026-08-12,3003,健和興,進場YoY93% 連接器線材/無,20187,69.7,
2026-08-17,2317,鴻海,出清,5404,255.0,-51338
2026-08-17,2465,麗臺,進場YoY281% 伺服器ODM/候選,15704,90.6,
2026-08-31,,,月權益,,10565863.381194998,
2026-09-01,,,月權益,,10619629.981195,
2026-09-04,,,月權益,,10720410.481195,
